Availability;Caption;ClassGuid;CompatibleID;ConfigManagerErrorCode;ConfigManagerUserConfig;CreationClassName;Description;DeviceID;ErrorCleared;ErrorDescription;HardwareID;InstallDate;LastErrorCode;Manufacturer;Name;PNPClass;PNPDeviceID;PowerManagementCapabilities;PowerManagementSupported;Present;Service;Status;StatusInfo;SystemCreationClassName;SystemName
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\PNP0C02\0;"";"";{ACPI\VEN_PNP&DEV_0C02, ACPI\PNP0C02, *PNP0C02};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\PNP0C02\0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\PNP0C02\1;"";"";{ACPI\VEN_PNP&DEV_0C02, ACPI\PNP0C02, *PNP0C02};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\PNP0C02\1;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\PNP0C02\2;"";"";{ACPI\VEN_PNP&DEV_0C02, ACPI\PNP0C02, *PNP0C02};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\PNP0C02\2;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\PNP0C02\5;"";"";{ACPI\VEN_PNP&DEV_0C02, ACPI\PNP0C02, *PNP0C02};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\PNP0C02\5;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Eingebetteter, Microsoft ACPI-konformer Controller;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Eingebetteter, Microsoft ACPI-konformer Controller;ACPI\PNP0C09\1;"";"";{ACPI\VEN_PNP&DEV_0C09, ACPI\PNP0C09, *PNP0C09};"";"";(Standardsystemgeräte);Eingebetteter, Microsoft ACPI-konformer Controller;System;ACPI\PNP0C09\1;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";DELL U2515H(HDMI2);{4d36e96e-e325-11ce-bfc1-08002be10318};{*PNP09FF};0;False;Win32_PnPEntity;DELL U2515H(HDMI2);DISPLAY\DELD072\4&2706F5B0&0&UID198195;"";"";{MONITOR\DELD072};"";"";Dell Inc.;DELL U2515H(HDMI2);Monitor;DISPLAY\DELD072\4&2706F5B0&0&UID198195;"";"";True;monitor;OK;"";Win32_ComputerSystem;NUC
"";ACPI-Lüfter;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;ACPI-Lüfter;ACPI\PNP0C0B\0;"";"";{ACPI\VEN_PNP&DEV_0C0B, ACPI\PNP0C0B, *PNP0C0B};"";"";(Standardsystemgeräte);ACPI-Lüfter;System;ACPI\PNP0C0B\0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";ACPI-Lüfter;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;ACPI-Lüfter;ACPI\PNP0C0B\1;"";"";{ACPI\VEN_PNP&DEV_0C0B, ACPI\PNP0C0B, *PNP0C0B};"";"";(Standardsystemgeräte);ACPI-Lüfter;System;ACPI\PNP0C0B\1;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";ACPI-Lüfter;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;ACPI-Lüfter;ACPI\PNP0C0B\2;"";"";{ACPI\VEN_PNP&DEV_0C0B, ACPI\PNP0C0B, *PNP0C0B};"";"";(Standardsystemgeräte);ACPI-Lüfter;System;ACPI\PNP0C0B\2;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";ACPI-Lüfter;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;ACPI-Lüfter;ACPI\PNP0C0B\3;"";"";{ACPI\VEN_PNP&DEV_0C0B, ACPI\PNP0C0B, *PNP0C0B};"";"";(Standardsystemgeräte);ACPI-Lüfter;System;ACPI\PNP0C0B\3;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";ACPI-Lüfter;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;ACPI-Lüfter;ACPI\PNP0C0B\4;"";"";{ACPI\VEN_PNP&DEV_0C0B, ACPI\PNP0C0B, *PNP0C0B};"";"";(Standardsystemgeräte);ACPI-Lüfter;System;ACPI\PNP0C0B\4;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
